City,Date Onset,Cases
CITY OF SAN JUAN,2/26/2020,1
CITY OF SAN JUAN,2/27/2020,1
CITY OF SAN JUAN,3/1/2020,2
CITY OF SAN JUAN,3/10/2020,4
CITY OF SAN JUAN,3/11/2020,4
CITY OF SAN JUAN,3/12/2020,7
CITY OF SAN JUAN,3/13/2020,7
CITY OF SAN JUAN,3/14/2020,7
CITY OF SAN JUAN,3/15/2020,15
CITY OF SAN JUAN,3/16/2020,4
CITY OF SAN JUAN,3/17/2020,7
CITY OF SAN JUAN,3/18/2020,8
CITY OF SAN JUAN,3/19/2020,9
CITY OF SAN JUAN,3/2/2020,2
CITY OF SAN JUAN,3/20/2020,7
CITY OF SAN JUAN,3/21/2020,5
CITY OF SAN JUAN,3/22/2020,3
CITY OF SAN JUAN,3/23/2020,5
CITY OF SAN JUAN,3/24/2020,5
CITY OF SAN JUAN,3/25/2020,1
CITY OF SAN JUAN,3/26/2020,2
CITY OF SAN JUAN,3/27/2020,2
CITY OF SAN JUAN,3/28/2020,2
CITY OF SAN JUAN,3/29/2020,4
CITY OF SAN JUAN,3/3/2020,2
CITY OF SAN JUAN,3/30/2020,3
CITY OF SAN JUAN,3/31/2020,1
CITY OF SAN JUAN,3/4/2020,2
CITY OF SAN JUAN,3/5/2020,7
CITY OF SAN JUAN,3/6/2020,4
CITY OF SAN JUAN,3/7/2020,5
CITY OF SAN JUAN,3/8/2020,8
CITY OF SAN JUAN,3/9/2020,7
CITY OF SAN JUAN,4/1/2020,4
CITY OF SAN JUAN,4/11/2020,2
CITY OF SAN JUAN,4/13/2020,1
CITY OF SAN JUAN,4/15/2020,1
CITY OF SAN JUAN,4/16/2020,1
CITY OF SAN JUAN,4/17/2020,2
CITY OF SAN JUAN,4/18/2020,1
CITY OF SAN JUAN,4/2/2020,1
CITY OF SAN JUAN,4/20/2020,1
CITY OF SAN JUAN,4/22/2020,1
CITY OF SAN JUAN,4/25/2020,2
CITY OF SAN JUAN,4/28/2020,1
CITY OF SAN JUAN,4/3/2020,3
CITY OF SAN JUAN,4/4/2020,5
CITY OF SAN JUAN,4/5/2020,3
CITY OF SAN JUAN,4/6/2020,1
CITY OF SAN JUAN,4/7/2020,4
CITY OF SAN JUAN,4/8/2020,1
CITY OF SAN JUAN,4/9/2020,2
CITY OF SAN JUAN,5/6/2020,1
CITY OF VALENZUELA,2/8/2020,1
CITY OF VALENZUELA,3/10/2020,1
CITY OF VALENZUELA,3/11/2020,1
CITY OF VALENZUELA,3/13/2020,1
CITY OF VALENZUELA,3/14/2020,2
CITY OF VALENZUELA,3/15/2020,2
CITY OF VALENZUELA,3/16/2020,1
CITY OF VALENZUELA,3/17/2020,1
CITY OF VALENZUELA,3/18/2020,2
CITY OF VALENZUELA,3/21/2020,2
CITY OF VALENZUELA,3/23/2020,1
CITY OF VALENZUELA,3/24/2020,2
CITY OF VALENZUELA,3/25/2020,1
CITY OF VALENZUELA,3/26/2020,3
CITY OF VALENZUELA,3/27/2020,2
CITY OF VALENZUELA,3/28/2020,1
CITY OF VALENZUELA,3/29/2020,5
CITY OF VALENZUELA,3/3/2020,1
CITY OF VALENZUELA,3/30/2020,2
CITY OF VALENZUELA,3/31/2020,3
CITY OF VALENZUELA,3/4/2020,1
CITY OF VALENZUELA,4/1/2020,3
CITY OF VALENZUELA,4/10/2020,1
CITY OF VALENZUELA,4/11/2020,1
CITY OF VALENZUELA,4/12/2020,3
CITY OF VALENZUELA,4/14/2020,1
CITY OF VALENZUELA,4/15/2020,2
CITY OF VALENZUELA,4/16/2020,1
CITY OF VALENZUELA,4/17/2020,1
CITY OF VALENZUELA,4/18/2020,1
CITY OF VALENZUELA,4/2/2020,3
CITY OF VALENZUELA,4/20/2020,1
CITY OF VALENZUELA,4/28/2020,1
CITY OF VALENZUELA,4/3/2020,1
CITY OF VALENZUELA,4/6/2020,3
CITY OF VALENZUELA,4/7/2020,3
CITY OF VALENZUELA,4/8/2020,2
CITY OF VALENZUELA,4/9/2020,3
CITY OF VALENZUELA,5/1/2020,2
CITY OF VALENZUELA,5/16/2020,1
CITY OF VALENZUELA,5/2/2020,3
CITY OF VALENZUELA,5/4/2020,1
CITY OF VALENZUELA,5/9/2020,1
PASAY CITY,2/25/2020,1
PASAY CITY,3/10/2020,6
PASAY CITY,3/11/2020,2
PASAY CITY,3/12/2020,2
PASAY CITY,3/13/2020,4
PASAY CITY,3/14/2020,2
PASAY CITY,3/15/2020,1
PASAY CITY,3/16/2020,6
PASAY CITY,3/17/2020,4
PASAY CITY,3/18/2020,4
PASAY CITY,3/19/2020,2
PASAY CITY,3/20/2020,7
PASAY CITY,3/21/2020,3
PASAY CITY,3/22/2020,8
PASAY CITY,3/23/2020,6
PASAY CITY,3/24/2020,5
PASAY CITY,3/25/2020,5
PASAY CITY,3/26/2020,5
PASAY CITY,3/27/2020,1
PASAY CITY,3/28/2020,5
PASAY CITY,3/29/2020,1
PASAY CITY,3/30/2020,8
PASAY CITY,3/31/2020,4
PASAY CITY,3/5/2020,1
PASAY CITY,3/6/2020,1
PASAY CITY,3/7/2020,1
PASAY CITY,3/9/2020,2
PASAY CITY,4/1/2020,3
PASAY CITY,4/10/2020,4
PASAY CITY,4/11/2020,2
PASAY CITY,4/12/2020,4
PASAY CITY,4/14/2020,3
PASAY CITY,4/15/2020,8
PASAY CITY,4/16/2020,5
PASAY CITY,4/17/2020,1
PASAY CITY,4/18/2020,10
PASAY CITY,4/19/2020,1
PASAY CITY,4/2/2020,7
PASAY CITY,4/20/2020,2
PASAY CITY,4/21/2020,2
PASAY CITY,4/22/2020,1
PASAY CITY,4/23/2020,1
PASAY CITY,4/24/2020,3
PASAY CITY,4/25/2020,3
PASAY CITY,4/26/2020,1
PASAY CITY,4/27/2020,7
PASAY CITY,4/28/2020,4
PASAY CITY,4/29/2020,3
PASAY CITY,4/3/2020,4
PASAY CITY,4/30/2020,5
PASAY CITY,4/4/2020,3
PASAY CITY,4/5/2020,7
PASAY CITY,4/6/2020,8
PASAY CITY,4/7/2020,10
PASAY CITY,4/8/2020,7
PASAY CITY,4/9/2020,5
PASAY CITY,5/1/2020,4
PASAY CITY,5/10/2020,7
PASAY CITY,5/11/2020,4
PASAY CITY,5/12/2020,1
PASAY CITY,5/13/2020,2
PASAY CITY,5/14/2020,1
PASAY CITY,5/15/2020,2
PASAY CITY,5/17/2020,2
PASAY CITY,5/2/2020,1
PASAY CITY,5/3/2020,5
PASAY CITY,5/4/2020,5
PASAY CITY,5/5/2020,4
PASAY CITY,5/6/2020,6
PASAY CITY,5/7/2020,1
PASAY CITY,5/8/2020,2
PASAY CITY,5/9/2020,3
PATEROS,3/13/2020,1
PATEROS,3/18/2020,1
PATEROS,3/20/2020,2
PATEROS,3/21/2020,1
PATEROS,3/24/2020,2
PATEROS,3/26/2020,3
PATEROS,3/28/2020,1
PATEROS,3/30/2020,1
PATEROS,3/6/2020,1
PATEROS,3/7/2020,1
PATEROS,3/9/2020,1
PATEROS,4/11/2020,1
PATEROS,4/12/2020,1
PATEROS,4/13/2020,1
PATEROS,4/14/2020,1
PATEROS,4/26/2020,1
PATEROS,4/3/2020,1
PATEROS,4/9/2020,1
PATEROS,5/15/2020,1
PATEROS,5/18/2020,1
QUEZON CITY,1/16/2020,1
QUEZON CITY,2/15/2020,2
QUEZON CITY,2/2/2020,1
QUEZON CITY,2/20/2020,1
QUEZON CITY,2/21/2020,1
QUEZON CITY,2/25/2020,2
QUEZON CITY,2/26/2020,1
QUEZON CITY,2/28/2020,3
QUEZON CITY,2/29/2020,6
QUEZON CITY,3/1/2020,7
QUEZON CITY,3/10/2020,20
QUEZON CITY,3/11/2020,32
QUEZON CITY,3/12/2020,30
QUEZON CITY,3/13/2020,41
QUEZON CITY,3/14/2020,40
QUEZON CITY,3/15/2020,30
QUEZON CITY,3/16/2020,52
QUEZON CITY,3/17/2020,31
QUEZON CITY,3/18/2020,38
QUEZON CITY,3/19/2020,35
QUEZON CITY,3/2/2020,3
QUEZON CITY,3/20/2020,45
QUEZON CITY,3/21/2020,28
QUEZON CITY,3/22/2020,21
QUEZON CITY,3/23/2020,28
QUEZON CITY,3/24/2020,32
QUEZON CITY,3/25/2020,35
QUEZON CITY,3/26/2020,30
QUEZON CITY,3/27/2020,22
QUEZON CITY,3/28/2020,28
QUEZON CITY,3/29/2020,24
QUEZON CITY,3/3/2020,11
QUEZON CITY,3/30/2020,35
QUEZON CITY,3/31/2020,17
QUEZON CITY,3/4/2020,5
QUEZON CITY,3/5/2020,7
QUEZON CITY,3/6/2020,13
QUEZON CITY,3/7/2020,18
QUEZON CITY,3/8/2020,12
QUEZON CITY,3/9/2020,22
QUEZON CITY,4/1/2020,25
QUEZON CITY,4/10/2020,17
QUEZON CITY,4/11/2020,23
QUEZON CITY,4/12/2020,20
QUEZON CITY,4/13/2020,14
QUEZON CITY,4/14/2020,7
QUEZON CITY,4/15/2020,9
QUEZON CITY,4/16/2020,7
QUEZON CITY,4/17/2020,11
QUEZON CITY,4/18/2020,11
QUEZON CITY,4/19/2020,9
QUEZON CITY,4/2/2020,27
QUEZON CITY,4/20/2020,10
QUEZON CITY,4/21/2020,7
QUEZON CITY,4/22/2020,8
QUEZON CITY,4/23/2020,9
QUEZON CITY,4/24/2020,9
QUEZON CITY,4/25/2020,3
QUEZON CITY,4/26/2020,4
QUEZON CITY,4/27/2020,5
QUEZON CITY,4/28/2020,14
QUEZON CITY,4/29/2020,9
QUEZON CITY,4/3/2020,25
QUEZON CITY,4/30/2020,3
QUEZON CITY,4/4/2020,23
QUEZON CITY,4/5/2020,24
QUEZON CITY,4/6/2020,23
QUEZON CITY,4/7/2020,17
QUEZON CITY,4/8/2020,17
QUEZON CITY,4/9/2020,13
QUEZON CITY,5/1/2020,4
QUEZON CITY,5/10/2020,4
QUEZON CITY,5/11/2020,3
QUEZON CITY,5/12/2020,5
QUEZON CITY,5/13/2020,3
QUEZON CITY,5/14/2020,4
QUEZON CITY,5/15/2020,5
QUEZON CITY,5/16/2020,4
QUEZON CITY,5/17/2020,2
QUEZON CITY,5/18/2020,2
QUEZON CITY,5/2/2020,6
QUEZON CITY,5/20/2020,1
QUEZON CITY,5/23/2020,1
QUEZON CITY,5/3/2020,6
QUEZON CITY,5/4/2020,6
QUEZON CITY,5/5/2020,3
QUEZON CITY,5/7/2020,3
QUEZON CITY,5/8/2020,5
QUEZON CITY,5/9/2020,3
TAGUIG CITY,3/1/2020,3
TAGUIG CITY,3/10/2020,8
TAGUIG CITY,3/11/2020,5
TAGUIG CITY,3/12/2020,6
TAGUIG CITY,3/13/2020,5
TAGUIG CITY,3/14/2020,1
TAGUIG CITY,3/15/2020,7
TAGUIG CITY,3/16/2020,11
TAGUIG CITY,3/17/2020,9
TAGUIG CITY,3/18/2020,5
TAGUIG CITY,3/19/2020,7
TAGUIG CITY,3/20/2020,5
TAGUIG CITY,3/21/2020,2
TAGUIG CITY,3/22/2020,1
TAGUIG CITY,3/23/2020,5
TAGUIG CITY,3/24/2020,2
TAGUIG CITY,3/25/2020,4
TAGUIG CITY,3/26/2020,9
TAGUIG CITY,3/27/2020,5
TAGUIG CITY,3/28/2020,5
TAGUIG CITY,3/29/2020,3
TAGUIG CITY,3/3/2020,1
TAGUIG CITY,3/30/2020,4
TAGUIG CITY,3/31/2020,4
TAGUIG CITY,3/4/2020,1
TAGUIG CITY,3/5/2020,1
TAGUIG CITY,3/6/2020,1
TAGUIG CITY,3/7/2020,3
TAGUIG CITY,3/8/2020,4
TAGUIG CITY,3/9/2020,2
TAGUIG CITY,4/1/2020,5
TAGUIG CITY,4/10/2020,4
TAGUIG CITY,4/11/2020,3
TAGUIG CITY,4/12/2020,2
TAGUIG CITY,4/13/2020,2
TAGUIG CITY,4/15/2020,3
TAGUIG CITY,4/16/2020,1
TAGUIG CITY,4/17/2020,2
TAGUIG CITY,4/18/2020,1
TAGUIG CITY,4/19/2020,3
TAGUIG CITY,4/2/2020,5
TAGUIG CITY,4/20/2020,2
TAGUIG CITY,4/21/2020,4
TAGUIG CITY,4/22/2020,2
TAGUIG CITY,4/24/2020,2
TAGUIG CITY,4/25/2020,2
TAGUIG CITY,4/26/2020,1
TAGUIG CITY,4/27/2020,3
TAGUIG CITY,4/28/2020,3
TAGUIG CITY,4/29/2020,1
TAGUIG CITY,4/3/2020,3
TAGUIG CITY,4/30/2020,3
TAGUIG CITY,4/4/2020,6
TAGUIG CITY,4/5/2020,1
TAGUIG CITY,4/6/2020,5
TAGUIG CITY,4/7/2020,4
TAGUIG CITY,4/8/2020,7
TAGUIG CITY,4/9/2020,1
TAGUIG CITY,5/1/2020,5
TAGUIG CITY,5/10/2020,1
TAGUIG CITY,5/11/2020,1
TAGUIG CITY,5/12/2020,1
TAGUIG CITY,5/13/2020,1
TAGUIG CITY,5/16/2020,1
TAGUIG CITY,5/18/2020,1
TAGUIG CITY,5/4/2020,3
TAGUIG CITY,5/5/2020,1
TAGUIG CITY,5/7/2020,1
TAGUIG CITY,5/9/2020,1
